codigo_ocorrencia;codigo_ocorrencia2;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
52242;52242;INCIDENTE;PORTO;ALEGRE;BRASIL;SBPA;05/01/2012;NULL
45331;45331;ACIDENTE;GUARULHOS;SP;SBGR;06/01/2012;13:44:00;3
45333;45333;ACIDENTE;VIAMÃO;RS;****;06/01/2012;13:00:00;0
45401;45401;ACIDENTE;SÃO;SEBASTIÃO;BRASIL;****;06/01/2012;NULL
45407;45407;ACIDENTE;SÃO;SEPÉ;BRASIL;****;06/01/2012;2013-11-27
52243;52243;INCIDENTE;UBATUBA;SP;****;06/01/2012;14:30:00;0
50713;50713;INCIDENTE;***;CAMPINAS;BRASIL;SDAI;07/01/2012;2014-01-08
45334;45334;INCIDENTE;BELÉM;PA;SBBE;08/01/2012;19:12:00;0
45391;45391;ACIDENTE;CONCEIÇÃO;DAS;MG;BRASIL;****;DEFINIR
52244;52244;INCIDENTE;UBERLÂNDIA;MG;SBUL;08/01/2012;22:13:00;0
45332;45332;ACIDENTE;VIAMÃO;RS;****;09/01/2012;13:30:00;0
52245;52245;INCIDENTE;PORTO;ALEGRE;BRASIL;SBPA;09/01/2012;NULL
45396;45396;INCIDENTE;-49.1383333333;MARABÁ;BRASIL;SBMA;11/01/2012;2017-05-02
45408;45408;ACIDENTE;ELDORADO;SP;****;11/01/2012;13:45:00;1
45447;45447;INCIDENTE;RIO;BRANCO;BRASIL;****;13/01/2012;NULL
45409;45409;ACIDENTE;CÁCERES;MT;****;14/01/2012;10:00:00;NÃO
45693;45693;INCIDENTE;MACAÉ;RJ;****;14/01/2012;10:30:00;0
52246;52246;INCIDENTE;BRASÍLIA;DF;SBBR;16/01/2012;16:47:00;0
50714;50714;INCIDENTE;-40.8569444444;CAMOCIM;BRASIL;SNWC;17/01/2012;2014-10-01
45399;45399;INCIDENTE;-49.2675;MUANÁ;BRASIL;****;18/01/2012;2014-08-15
52247;52247;INCIDENTE;BELO;HORIZONTE;BRASIL;SBPR;18/01/2012;NULL
45392;45392;ACIDENTE;BRASÍLIA;DF;****;19/01/2012;21:30:00;2
45390;45390;ACIDENTE;CACHOEIRA;DOURADA;BRASIL;****;20/01/2012;2014-10-01
45405;45405;INCIDENTE;CUIABÁ;MT;****;20/01/2012;08:00:00;0
45582;45582;INCIDENTE;-54.7241666667;RONDONÓPOLIS;BRASIL;SWRD;20/01/2012;2015-07-21
45400;45400;INCIDENTE;***;BRASÍLIA;BRASIL;SBBR;21/01/2012;2017-03-31
45410;45410;ACIDENTE;BRAGANÇA;PAULISTA;BRASIL;SDVH;21/01/2012;NÃO
52241;52241;INCIDENTE;***;UBERLÂNDIA;BRASIL;SBUL;21/01/2012;NULL
52248;52248;INCIDENTE;SÃO;PAULO;BRASIL;SBMT;21/01/2012;NULL
45393;45393;ACIDENTE;RIO;DE;RJ;BRASIL;SBJR;SIM
45397;45397;INCIDENTE;-43.5369444444;RIO;JANEIRO;RJ;BRASIL;IG-536/CENIPA/2014
52051;52051;INCIDENTE;RECIFE;PE;SBRF;22/01/2012;23:00:00;0
45412;45412;ACIDENTE;TASSO;FRAGOSO;BRASIL;****;23/01/2012;2013-12-30
45413;45413;ACIDENTE;ITAPURANGA;GO;****;25/01/2012;22:00:00;0
52053;52053;INCIDENTE;VITÓRIA;ES;SBVT;25/01/2012;13:36:00;0
52054;52054;INCIDENTE;SÃO;PAULO;BRASIL;SBMT;25/01/2012;NULL
52055;52055;INCIDENTE;RIBEIRÃO;PRETO;BRASIL;****;25/01/2012;NULL
45802;45802;INCIDENTE;BELO;HORIZONTE;BRASIL;SBBH;26/01/2012;NULL
45667;45667;INCIDENTE;JOINVILLE;SC;SBJV;27/01/2012;14:45:00;0
45579;45579;ACIDENTE;CAMPOS;LINDOS;BRASIL;****;28/01/2012;2016-07-13
45415;45415;ACIDENTE;RIO;DE;RJ;BRASIL;****;SIM
45719;45719;INCIDENTE;PELOTAS;RS;****;30/01/2012;21:30:00;0
45414;45414;ACIDENTE;NOVA;BRASILÂNDIA;BRASIL;****;31/01/2012;2020-05-29
45417;45417;ACIDENTE;VÁRZEA;GRANDE;BRASIL;****;31/01/2012;2013-11-27
45668;45668;INCIDENTE;CAMPOS;DOS;RJ;BRASIL;****;NÃO
45682;45682;INCIDENTE;MACAÉ;RJ;****;01/02/2012;13:50:00;0
45525;45525;ACIDENTE;CAMPO;FLORIDO;BRASIL;****;02/02/2012;2017-08-01
45705;45705;INCIDENTE;SÃO;JOSÉ;PINHAIS;PR;BRASIL;***
45658;45658;INCIDENTE;CAMPO;GRANDE;BRASIL;SBCG;03/02/2012;NÃO
45703;45703;INCIDENTE;RIO;DE;RJ;BRASIL;SBGL;NÃO
45701;45701;INCIDENTE;BELÉM;PA;SBBE;04/02/2012;14:55:00;0
45587;45587;ACIDENTE;CORRENTINA;BA;****;05/02/2012;20:27:00;0
52056;52056;INCIDENTE;LONDRINA;PR;SBLO;05/02/2012;17:34:00;0
45469;45469;INCIDENTE;PIRACICABA;SP;SDPW;06/02/2012;20:45:00;0
45572;45572;ACIDENTE;PALESTINA;SP;****;06/02/2012;19:30:00;0
45669;45669;INCIDENTE;ITANHAÉM;SP;****;06/02/2012;14:00:00;0
45699;45699;INCIDENTE;SÃO;PAULO;BRASIL;SBSP;06/02/2012;NULL
45700;45700;INCIDENTE;CUIABÁ;MT;****;06/02/2012;20:00:00;0
45524;45524;ACIDENTE;JUNDIAÍ;SP;SBJD;07/02/2012;16:10:00;0
45580;45580;INCIDENTE;***;MACAÉ;BRASIL;****;07/02/2012;2018-07-27
45588;45588;ACIDENTE;RIO;DE;RJ;BRASIL;****;SIM
45656;45656;INCIDENTE;JUNDIAÍ;SP;SBJD;07/02/2012;20:50:00;0
46900;46900;ACIDENTE;QUELUZITO;MG;****;07/02/2012;19:45:00;NULL
45528;45528;ACIDENTE;BELÉM;PA;****;08/02/2012;01:44:00;3
45564;45564;ACIDENTE;SONORA;MS;****;08/02/2012;09:50:00;0
45585;45585;ACIDENTE;BELA;VISTA;PARAÍSO;PR;BRASIL;A-548/CENIPA/2015
45678;45678;INCIDENTE;BELO;HORIZONTE;BRASIL;SBPR;10/02/2012;NULL
45718;45718;INCIDENTE;UBERLÂNDIA;MG;SBUL;10/02/2012;04:00:00;0
45466;45466;ACIDENTE;CAMPINAS;SP;SDAM;12/02/2012;19:25:00;0
45470;45470;INCIDENTE;RIO;DE;RJ;BRASIL;SBGL;NÃO
45586;45586;ACIDENTE;ARROIO;GRANDE;BRASIL;****;15/02/2012;2013-11-27
52471;52471;INCIDENTE;-38.9091666667;CAIRU;BRASIL;SNCL;15/02/2012;2014-10-01
45487;45487;ACIDENTE;CAMETÁ;PA;****;16/02/2012;12:30:00;3
45684;45684;INCIDENTE;PERUÍBE;SP;****;17/02/2012;14:45:00;0
45689;45689;INCIDENTE;RIO;DE;RJ;BRASIL;****;NÃO
45712;45712;INCIDENTE;CABO;FRIO;BRASIL;****;17/02/2012;NULL
45713;45713;INCIDENTE;SÃO;PAULO;BRASIL;****;17/02/2012;NULL
45584;45584;INCIDENTE;-37.3225;ESTÂNCIA;BRASIL;SNOD;19/02/2012;2014-10-01
45598;45598;INCIDENTE;-46.537500;BRAGANÇA;SP;BRASIL;SBBP;DEFINIR
45715;45715;INCIDENTE;MANAUS;AM;SWFN;20/02/2012;09:10:00;0
45571;45571;ACIDENTE;MARITUBA;PA;****;22/02/2012;13:40:00;9
45710;45710;INCIDENTE;SÃO;JOSÉ;PINHAIS;PR;BRASIL;***
45714;45714;INCIDENTE;BELO;HORIZONTE;BRASIL;SBBH;22/02/2012;NULL
45681;45681;INCIDENTE;MANAUS;AM;SBEG;23/02/2012;10:25:00;0
45527;45527;ACIDENTE;CORUPÁ;SC;****;24/02/2012;11:45:00;0
45569;45569;ACIDENTE;COSTA;RICA;BRASIL;****;24/02/2012;NULL
45653;45653;INCIDENTE;-46.473056;GUARULHOS;BRASIL;SBGR;24/02/2012;NÃO
45490;45490;ACIDENTE;BELÉM;PA;****;25/02/2012;11:47:00;1
45680;45680;INCIDENTE;CONFINS;MG;SBCF;25/02/2012;20:00:00;0
45709;45709;INCIDENTE;RIO;DE;RJ;BRASIL;****;NÃO
45522;45522;ACIDENTE;SÃO;JOSÉ;BRASIL;SSKT;27/02/2012;2013-10-21
45599;45599;INCIDENTE;-46.5375;BRAGANÇA;SP;BRASIL;SBBP;SIM
45523;45523;ACIDENTE;ENVIRA;AM;****;28/02/2012;21:30:00;0
45573;45573;ACIDENTE;MANAUS;AM;****;28/02/2012;10:15:00;2
45570;45570;ACIDENTE;LUIZ;ALVES;BRASIL;****;29/02/2012;2014-07-21
45727;45727;INCIDENTE;BARRA;DO;MT;BRASIL;SBBW;NÃO
45526;45526;ACIDENTE;QUERÊNCIA;DO;PR;BRASIL;****;SIM
45589;45589;ACIDENTE;LINS;SP;SWXQ;02/03/2012;17:35:00;0
45707;45707;INCIDENTE;FORTALEZA;CE;SBFZ;02/03/2012;22:12:00;0
45610;45610;INCIDENTE;SÃO;JOSÉ;RIO;PRETO;SP;FINALIZADA
45706;45706;INCIDENTE;RIO;BRANCO;BRASIL;SBRB;03/03/2012;NULL
45711;45711;INCIDENTE;SÃO;PAULO;BRASIL;****;03/03/2012;NULL
45596;45596;ACIDENTE;ELISEU;MARTINS;BRASIL;****;06/03/2012;2013-11-30
45604;45604;INCIDENTE;RIO;DE;RJ;BRASIL;SBRJ;NÃO
45670;45670;INCIDENTE;SALVADOR;BA;SBSV;06/03/2012;23:25:00;0
45594;45594;ACIDENTE;ITUMBIARA;GO;****;07/03/2012;10:00:00;NÃO
45601;45601;INCIDENTE;GUARULHOS;SP;SBGR;07/03/2012;17:40:00;0
45624;45624;INCIDENTE;VITÓRIA;ES;****;07/03/2012;11:45:00;0
45671;45671;INCIDENTE;PALMAS;TO;SBPJ;07/03/2012;10:50:00;0
45728;45728;INCIDENTE;RIO;BRANCO;BRASIL;****;08/03/2012;NULL
45677;45677;INCIDENTE;ANÁPOLIS;GO;****;09/03/2012;08:30:00;0
45695;45695;INCIDENTE;MACAÉ;RJ;SBME;09/03/2012;11:35:00;0
45698;45698;INCIDENTE;FORTALEZA;CE;****;09/03/2012;14:00:00;0
45612;45612;INCIDENTE;LONDRINA;PR;SBLO;10/03/2012;16:35:00;0
45647;45647;INCIDENTE;MACAÉ;RJ;****;10/03/2012;11:48:00;0
45694;45694;INCIDENTE;RIBEIRÃO;PRETO;BRASIL;SBRP;10/03/2012;NULL
45789;45789;INCIDENTE;ILHÉUS;BA;SBIL;10/03/2012;12:30:00;0
45696;45696;INCIDENTE;CAMPINAS;SP;****;11/03/2012;17:30:00;0
45697;45697;INCIDENTE;RIBEIRÃO;PRETO;BRASIL;****;11/03/2012;NULL
45597;45597;ACIDENTE;CAMPO;GRANDE;BRASIL;SBCG;12/03/2012;2013-07-10
45611;45611;INCIDENTE;RIO;DE;RJ;BRASIL;SBGL;NÃO
45618;45618;ACIDENTE;LUIZ;ALVES;BRASIL;****;12/03/2012;2014-08-15
45600;45600;INCIDENTE;***;ESPUMOSO;BRASIL;****;13/03/2012;2013-11-27
45609;45609;INCIDENTE;GOIÂNIA;GO;****;13/03/2012;12:50:00;0
45786;45786;INCIDENTE;SALVADOR;BA;SBSV;14/03/2012;12:46:00;0
45692;45692;INCIDENTE;FRANCA;SP;****;15/03/2012;14:35:00;0
45729;45729;ACIDENTE;MIRANDA;MS;****;15/03/2012;10:00:00;0
45625;45625;INCIDENTE;SANTA;MARIA;BRASIL;****;16/03/2012;NULL
45654;45654;INCIDENTE;***;SÃO;SC;BRASIL;SSKT;SIM
45691;45691;INCIDENTE;FRANCO;DA;SP;BRASIL;****;NÃO
45864;45864;INCIDENTE;CAMPOS;DOS;RJ;BRASIL;****;NÃO
45685;45685;INCIDENTE;CABO;FRIO;BRASIL;SBBZ;18/03/2012;NULL
45619;45619;ACIDENTE;SOROCABA;SP;SDCO;19/03/2012;19:18:00;0
45652;45652;ACIDENTE;PORTO;ALEGRE;BRASIL;****;19/03/2012;2013-10-21
45686;45686;INCIDENTE;GUARULHOS;SP;****;20/03/2012;16:10:00;0
46067;46067;INCIDENTE;MACAÉ;RJ;****;21/03/2012;12:50:00;0
45795;45795;INCIDENTE;GOIÂNIA;GO;SBGO;22/03/2012;19:45:00;0
45796;45796;INCIDENTE;FORTALEZA;CE;SBFZ;22/03/2012;14:41:00;0
45730;45730;ACIDENTE;MARICÁ;RJ;SDMC;23/03/2012;16:15:00;0
45798;45798;INCIDENTE;***;CHAPECÓ;BRASIL;****;23/03/2012;2013-12-18
45651;45651;INCIDENTE;-47.384444;ITU;BRASIL;****;24/03/2012;2021-08-19
45794;45794;ACIDENTE;NAVEGANTES;SC;SBNF;24/03/2012;17:40:00;NULL
45784;45784;INCIDENTE;BELO;HORIZONTE;BRASIL;****;26/03/2012;NULL
45797;45797;INCIDENTE;RIBEIRÃO;PRETO;BRASIL;SBRP;26/03/2012;NULL
46901;46901;ACIDENTE;MANAUS;AM;SBEG;26/03/2012;20:30:00;2
52057;52057;INCIDENTE;MACEIÓ;AL;SBMO;26/03/2012;13:19:00;0
45792;45792;INCIDENTE;SÃO;PAULO;BRASIL;SBSP;27/03/2012;NULL
45793;45793;INCIDENTE;GOIÂNIA;GO;****;27/03/2012;19:55:00;0
45780;45780;INCIDENTE;CAMPINAS;SP;****;28/03/2012;19:30:00;0
45790;45790;INCIDENTE;CURITIBA;PR;SBBI;28/03/2012;21:40:00;0
45791;45791;INCIDENTE;MACAÉ;RJ;SBME;28/03/2012;13:45:00;0
45773;45773;INCIDENTE;SANTA;MARIA;BRASIL;****;29/03/2012;NULL
45785;45785;INCIDENTE;COARI;AM;****;29/03/2012;15:20:00;3
45754;45754;INCIDENTE;***;GOIÂNIA;BRASIL;SBNV;30/03/2012;2013-10-21
45774;45774;INCIDENTE;BELO;HORIZONTE;BRASIL;SBBH;30/03/2012;NULL
45731;45731;ACIDENTE;PALMAS;TO;****;31/03/2012;19:21:00;0
46069;46069;INCIDENTE;GUARULHOS;SP;****;01/04/2012;13:30:00;0
45753;45753;INCIDENTE;-46.3905555556;OURO;MG;BRASIL;SNOF;SIM
45775;45775;INCIDENTE;SÃO;PAULO;BRASIL;****;02/04/2012;NULL
45732;45732;ACIDENTE;SORRISO;MT;****;03/04/2012;17:30:00;NÃO
45756;45756;INCIDENTE;***;SÃO;DO;XINGU;PA;FINALIZADA
45755;45755;INCIDENTE;-36.0108333333;CARUARU;BRASIL;SNRU;04/04/2012;2014-10-20
52058;52058;INCIDENTE;BAURU;SP;SBBU;04/04/2012;20:20:00;0
45733;45733;ACIDENTE;BELO;HORIZONTE;BRASIL;****;05/04/2012;NULL
45734;45734;ACIDENTE;TIROS;MG;****;06/04/2012;13:37:00;0
45752;45752;INCIDENTE;-46.5375;BRAGANÇA;SP;BRASIL;SBBP;SIM
45776;45776;INCIDENTE;GOVERNADOR;VALADARES;BRASIL;****;11/04/2012;NULL
47082;47082;INCIDENTE;-58.8;SAPEZAL;BRASIL;****;11/04/2012;2019-03-11
45779;45779;INCIDENTE;BRASÍLIA;DF;****;12/04/2012;19:00:00;0
45803;45803;INCIDENTE;BELO;HORIZONTE;BRASIL;SBBH;12/04/2012;NULL
45746;45746;ACIDENTE;FRANCA;SP;****;13/04/2012;20:25:00;0
45747;45747;ACIDENTE;CAMPO;GRANDE;BRASIL;SSKG;13/04/2012;2014-07-21
45750;45750;ACIDENTE;ITIRAPINA;SP;****;13/04/2012;15:45:00;0
45751;45751;ACIDENTE;ITANHAÉM;SP;****;14/04/2012;15:30:00;2
45749;45749;ACIDENTE;GUARATINGUETÁ;SP;SBGW;15/04/2012;20:45:00;0
45777;45777;INCIDENTE;MANAUS;AM;SBEG;15/04/2012;06:15:00;0
45781;45781;INCIDENTE;UBERLÂNDIA;MG;SBUL;15/04/2012;20:40:00;0
46056;46056;INCIDENTE;GUAÍBA;RS;****;15/04/2012;12:05:00;0
45748;45748;ACIDENTE;FORTALEZA;CE;SBFZ;16/04/2012;22:50:00;0
46053;46053;INCIDENTE;MACAÉ;RJ;SBME;18/04/2012;12:59:00;0
45778;45778;INCIDENTE;GOIÂNIA;GO;SBGO;19/04/2012;21:45:00;0
45757;45757;ACIDENTE;JUNDIAÍ;SP;SBJD;20/04/2012;20:20:00;2
45759;45759;ACIDENTE;MACAPÁ;AP;****;20/04/2012;08:55:00;2
45783;45783;INCIDENTE;CHAVES;PA;****;21/04/2012;12:45:00;0
46052;46052;INCIDENTE;COARI;AM;****;21/04/2012;13:05:00;0
45834;45834;INCIDENTE;PORTO;ALEGRE;BRASIL;SBPA;23/04/2012;NULL
45835;45835;INCIDENTE;***;BLUMENAU;BRASIL;SSBL;23/04/2012;2013-10-21
46048;46048;ACIDENTE;GUARULHOS;SP;SBGR;24/04/2012;16:40:00;1
45804;45804;INCIDENTE;GOIÂNIA;GO;****;25/04/2012;09:20:00;0
46055;46055;INCIDENTE;BELO;HORIZONTE;BRASIL;****;25/04/2012;NULL
46068;46068;INCIDENTE;RECIFE;PE;SBRF;25/04/2012;11:26:00;0
45820;45820;ACIDENTE;GUARUJÁ;SP;****;26/04/2012;17:26:00;3
45799;45799;ACIDENTE;SÃO;SEBASTIÃO;PASSÉ;BA;BRASIL;A-107/CENIPA/2013
45801;45801;INCIDENTE;GUARULHOS;SP;SBGR;27/04/2012;03:54:00;0
45844;45844;INCIDENTE;CONFINS;MG;SBCF;27/04/2012;01:40:00;0
45842;45842;INCIDENTE;MACAPÁ;AP;SBMQ;28/04/2012;14:23:00;0
46109;46109;INCIDENTE;RECIFE;PE;SBRF;28/04/2012;11:23:00;0
53433;53433;ACIDENTE;MARINGÁ;PR;SSXO;28/04/2012;20:00:00;0
46070;46070;INCIDENTE;TEIXEIRA;DE;BA;BRASIL;SNTF;NÃO
45800;45800;INCIDENTE;-38.3391666667;SALVADOR;BRASIL;SBSV;30/04/2012;2019-05-16
45821;45821;ACIDENTE;LENÇÓIS;PAULISTA;BRASIL;****;01/05/2012;2013-12-30
45843;45843;INCIDENTE;GUARULHOS;SP;SBGR;01/05/2012;23:30:00;0
45845;45845;INCIDENTE;VITÓRIA;ES;SBVT;02/05/2012;19:50:00;0
45850;45850;INCIDENTE;SERRA;ES;****;02/05/2012;19:09:00;0
45831;45831;INCIDENTE;***;MARINGÁ;BRASIL;SBMG;03/05/2012;2013-12-18
45833;45833;INCIDENTE;-42835;MARICÁ;BRASIL;****;03/05/2012;2015-08-28
46111;46111;INCIDENTE;RECIFE;PE;SBRF;03/05/2012;11:28:00;0
45912;45912;INCIDENTE;-62.9505555556;MUCAJAÍ;BRASIL;SWMV;04/05/2012;2014-10-02
45822;45822;ACIDENTE;PORTO;VELHO;BRASIL;****;05/05/2012;2014-07-21
45830;45830;INCIDENTE;***;FORMOSA;BRASIL;SWFR;06/05/2012;RAI
45841;45841;INCIDENTE;RIO;BRANCO;BRASIL;SBRB;07/05/2012;NULL
46847;46847;ACIDENTE;MARECHAL;CÂNDIDO;PR;BRASIL;SSCR;SIM
45819;45819;ACIDENTE;PIRANHAS;GO;****;08/05/2012;19:30:00;2
46072;46072;INCIDENTE;UBERABA;MG;SBUR;09/05/2012;10:50:00;0
45829;45829;ACIDENTE;SANTA;MARIANA;BRASIL;****;10/05/2012;2014-10-10
45853;45853;INCIDENTE;RIO;DE;RJ;BRASIL;SBRJ;NÃO
45849;45849;INCIDENTE;SÃO;JOSÉ;RIO;PRETO;SP;FINALIZADA
45856;45856;INCIDENTE;-60.2094444444;PRESIDENTE;AM;BRASIL;****;SIM
45892;45892;INCIDENTE;CONFINS;MG;SBCF;16/05/2012;17:50:00;0
45894;45894;ACIDENTE;AFUÁ;PA;****;16/05/2012;12:10:00;NULL
45854;45854;INCIDENTE;RIO;DE;RJ;BRASIL;SBJR;NÃO
45895;45895;INCIDENTE;SALVADOR;BA;SBSV;17/05/2012;09:55:00;0
45857;45857;ACIDENTE;SÃO;PAULO;BRASIL;SBMT;18/05/2012;2019-04-08
45862;45862;INCIDENTE;RIBEIRÃO;PRETO;BRASIL;****;18/05/2012;NULL
45865;45865;INCIDENTE;ITÁPOLIS;SP;****;18/05/2012;19:45:00;NULL
45867;45867;INCIDENTE;***;SÃO;SP;BRASIL;****;DEFINIR
45859;45859;INCIDENTE;***;AMARGOSA;BRASIL;SNAZ;19/05/2012;2013-10-21
45861;45861;INCIDENTE;PARNAMIRIM;RN;SBNT;19/05/2012;10:40:00;0
45944;45944;INCIDENTE;CAMPINAS;SP;SBKP;19/05/2012;10:28:00;0
45866;45866;ACIDENTE;DRACENA;SP;****;20/05/2012;19:35:00;1
45890;45890;ACIDENTE;IMBITUBA;SC;****;20/05/2012;17:40:00;0
45903;45903;INCIDENTE;GOIÂNIA;GO;SBGO;20/05/2012;21:17:00;0
45889;45889;INCIDENTE;BOTUCATU;SP;SDBK;22/05/2012;13:30:00;0
52059;52059;INCIDENTE;RECIFE;PE;SBRF;22/05/2012;13:07:00;0
45891;45891;INCIDENTE;\t-53.69666667\t;TOLEDO;BRASIL;SBTD;23/05/2012;2016-06-03
45915;45915;INCIDENTE;RIO;DE;RJ;BRASIL;SBRJ;NÃO
46049;46049;INCIDENTE;-58.2613888889;ITAPIRANGA;BRASIL;****;23/05/2012;2015-04-24
45860;45860;INCIDENTE;RIO;BRANCO;BRASIL;SBRB;24/05/2012;NULL
45887;45887;INCIDENTE;JUNDIAÍ;SP;SBJD;24/05/2012;19:23:00;0
45913;45913;ACIDENTE;ALCÂNTARA;MA;****;25/05/2012;20:45:00;NULL
45916;45916;INCIDENTE;RECIFE;PE;SBRF;25/05/2012;18:00:00;0
45941;45941;INCIDENTE;-47.5575;SALTO;PIRAPORA;SP;BRASIL;IG-510/CENIPA/2019
46701;46701;INCIDENTE;SÃO;PAULO;BRASIL;SBSP;25/05/2012;NULL
52240;52240;INCIDENTE;***;CASCAVEL;BRASIL;SBCA;25/05/2012;2014-10-13
45927;45927;ACIDENTE;TATUÍ;SP;SDTF;26/05/2012;12:30:00;0
45929;45929;ACIDENTE;BELO;HORIZONTE;BRASIL;SBPR;26/05/2012;2015-11-30
45950;45950;INCIDENTE;SÃO;PAULO;BRASIL;SBMT;26/05/2012;NÃO
45928;45928;ACIDENTE;DELTA;MG;****;27/05/2012;14:00:00;NÃO
45902;45902;ACIDENTE;PONTA;GROSSA;BRASIL;SBPG;28/05/2012;2013-11-13
45939;45939;ACIDENTE;UMUARAMA;PR;****;30/05/2012;19:00:00;NÃO
45904;45904;INCIDENTE;BELO;HORIZONTE;BRASIL;SBBH;31/05/2012;NULL
45898;45898;INCIDENTE;JUNDIAÍ;SP;SBJD;01/06/2012;16:54:00;0
45901;45901;ACIDENTE;BELÉM;PA;SBJC;01/06/2012;15:08:00;0
45900;45900;ACIDENTE;SÃO;PAULO;BRASIL;SBMT;02/06/2012;2014-04-23
45897;45897;INCIDENTE;JUNDIAÍ;SP;SBJD;03/06/2012;20:28:00;0
45899;45899;ACIDENTE;RIO;CLARO;BRASIL;SDRK;03/06/2012;2014-07-21
45918;45918;INCIDENTE;ILHÉUS;BA;SBIL;05/06/2012;18:34:00;0
45933;45933;ACIDENTE;BARÃO;DE;MT;BRASIL;****;SIM
45914;45914;ACIDENTE;MACAÉ;RJ;SBME;06/06/2012;21:35:00;0
45932;45932;INCIDENTE;***;GOIÂNIA;BRASIL;SBGO;06/06/2012;2018-07-27
45943;45943;INCIDENTE;VITÓRIA;ES;SBVT;07/06/2012;12:00:00;0
45980;45980;INCIDENTE;SALVADOR;BA;SBSV;07/06/2012;18:24:00;0
46117;46117;INCIDENTE;RIO;DE;RJ;BRASIL;SBGL;NÃO
45917;45917;INCIDENTE;SALVADOR;BA;SBSV;11/06/2012;19:30:00;0
45946;45946;INCIDENTE;CABO;FRIO;BRASIL;SBCB;11/06/2012;NULL
45931;45931;INCIDENTE;***;BELO;MG;BRASIL;SBPR;SIM
45936;45936;ACIDENTE;SINOP;MT;****;13/06/2012;11:50:00;0
45945;45945;INCIDENTE;RIO;DE;RJ;BRASIL;SBJR;NÃO
45981;45981;INCIDENTE;VÁRZEA;GRANDE;BRASIL;SBCY;13/06/2012;NULL
45989;45989;INCIDENTE;RIO;DE;RJ;BRASIL;SBJR;NÃO
45934;45934;ACIDENTE;PAÇO;DO;MA;BRASIL;SJHR;SIM
45982;45982;INCIDENTE;BELÉM;PA;SBBE;15/06/2012;00:06:00;0
45964;45964;INCIDENTE;SÃO;PAULO;BRASIL;SBSP;16/06/2012;NULL
46180;46180;ACIDENTE;AURIFLAMA;SP;****;16/06/2012;19:30:00;NULL
46032;46032;INCIDENTE;GUARULHOS;SP;SBGR;17/06/2012;13:36:00;0
45983;45983;INCIDENTE;BELO;HORIZONTE;BRASIL;****;18/06/2012;NULL
45942;45942;INCIDENTE;ARARAS;SP;SDAA;19/06/2012;13:40:00;NULL
45972;45972;INCIDENTE;CURITIBA;PR;SBBI;19/06/2012;15:00:00;0
46116;46116;INCIDENTE;VARGINHA;MG;****;19/06/2012;19:54:00;0
45935;45935;INCIDENTE;GOIÂNIA;GO;SBGO;20/06/2012;09:10:00;0
45938;45938;ACIDENTE;ALTO;HORIZONTE;BRASIL;****;20/06/2012;RAI
45947;45947;INCIDENTE;VITÓRIA;ES;****;20/06/2012;14:30:00;0
45951;45951;INCIDENTE;VITÓRIA;ES;SBVT;21/06/2012;15:00:00;0
45952;45952;INCIDENTE;COARI;AM;****;21/06/2012;12:15:00;0
45985;45985;INCIDENTE;GUARULHOS;SP;SBGR;21/06/2012;13:55:00;0
45937;45937;ACIDENTE;CANARANA;MT;SWEK;22/06/2012;14:00:00;0
45959;45959;INCIDENTE;BELO;HORIZONTE;BRASIL;SBBH;22/06/2012;NULL
45973;45973;INCIDENTE;MANAUS;AM;SBEG;22/06/2012;14:30:00;0
46022;46022;INCIDENTE;MOGI;DAS;SP;BRASIL;****;NÃO
46026;46026;INCIDENTE;-47.7202777778;BRASÍLIA;BRASIL;SIQE;22/06/2012;2015-05-15
46106;46106;INCIDENTE;VITÓRIA;ES;SBVT;22/06/2012;12:28:00;0
45960;45960;INCIDENTE;BELO;HORIZONTE;BRASIL;SBBH;23/06/2012;NULL
46158;46158;INCIDENTE;BELÉM;PA;SBJC;23/06/2012;11:50:00;0
45949;45949;INCIDENTE;SÃO;JOSÉ;CAMPOS;SP;BRASIL;***
45948;45948;INCIDENTE;JUNDIAÍ;SP;SBJD;25/06/2012;15:18:00;0
46197;46197;INCIDENTE;OSÓRIO;RS;SSOS;26/06/2012;17:00:00;0
46029;46029;INCIDENTE;COARI;AM;****;28/06/2012;12:00:00;0
46019;46019;INCIDENTE;SÃO;PAULO;BRASIL;SBSP;29/06/2012;NULL
46038;46038;ACIDENTE;BAURU;SP;SBBU;29/06/2012;17:50:00;0
46036;46036;INCIDENTE;BELÉM;PA;SBJC;30/06/2012;15:51:00;0
46043;46043;INCIDENTE;-42.8288888889;MARICÁ;BRASIL;SDMC;30/06/2012;2014-08-15
46045;46045;ACIDENTE;PRATA;MG;****;30/06/2012;23:00:00;NÃO
46096;46096;INCIDENTE;FOZ;DO;PR;BRASIL;SBFI;NÃO
46155;46155;INCIDENTE;RIO;DE;RJ;BRASIL;****;NÃO
46024;46024;INCIDENTE;\t-49.23361111\t;CURITIBA;BRASIL;SBBI;01/07/2012;2014-10-02
46046;46046;INCIDENTE;MARINGÁ;PR;SBMG;01/07/2012;12:30:00;0
46042;46042;INCIDENTE;-41.4580555556;ARACATU;BRASIL;****;02/07/2012;2015-05-15
46073;46073;INCIDENTE;GUARULHOS;SP;****;03/07/2012;02:55:00;NULL
